TID,KID,O ID,Start,End
3,3,5,1994,
3,100,5,1988,1993
3,114,5,1960,1987
3,25,5,1922,1959
3,30,5,1944,1944
3,25,2,1920,1921
4,4,5,1966,
6,6,5,1996,
18,18,5,1970,
18,18,4,1960,1969
22,22,5,1995,
23,23,5,1922,
23,28,2,1921,1921
23,46,2,1920,1920
31,31,5,1970,
31,31,4,1968,1969
35,35,5,1950,
35,35,1,1946,1949
43,43,5,1960,
47,47,5,1970,
47,47,4,1960,1969
49,49,5,1934,
49,103,5,1930,1933
57,57,5,1922,
57,57,2,1921,1921
61,61,5,2002,
62,62,5,1984,
62,5,5,1953,1983
62,5,1,1947,1949
62,77,1,1946,1946
63,63,5,1995,
65,65,5,1970,
65,65,4,1963,1969
65,44,4,1960,1962
76,76,5,1970,
76,76,4,1966,1969
81,81,5,1961,
83,83,5,1971,
83,9,5,1970,1970
83,9,4,1960,1969
84,84,5,1967,
87,87,5,1925,
88,88,5,1970,
88,88,4,1963,1969
88,89,4,1960,1962
94,94,5,1995,
94,71,5,1982,1994
94,94,5,1970,1981
94,94,4,1960,1969
97,97,5,1933,
97,99,5,1943,1943
102,102,5,1940,
102,101,5,1933,1939
110,110,5,1970,
110,110,4,1961,1969
110,69,4,1960,1960
111,111,5,1950,
111,111,1,1946,1949
112,112,5,1976,
116,116,5,1995,
116,72,5,1946,1994
116,39,5,1937,1945
119,119,5,1976,
121,121,5,1999,
121,120,5,1997,1998
121,60,5,1970,1996
121,60,4,1960,1969
125,125,5,1937,
125,10,5,1933,1936
125,7,5,1932,1932
1,1,5,1926,1926
1,2,5,1922,1925
1,2,2,1920,1921
19,19,5,1924,1929
19,20,5,1926,1926
19,17,5,1922,1923
19,17,2,1920,1921
15,15,5,1944,1944
15,12,5,1930,1943
14,14,5,1926,1926
11,11,5,1944,1948
34,34,5,1936,1936
21,21,5,1922,1926
21,21,2,1920,1921
37,37,5,1931,1931
37,36,5,1924,1925
33,33,5,1933,1933
42,42,5,1923,1926
42,41,5,1922,1922
42,41,2,1920,1921
45,45,5,1922,1929
45,45,2,1920,1921
52,52,5,1928,1928
50,50,5,1925,1926
44,44,5,1952,1952
53,53,5,1926,1927
53,54,5,1923,1925
55,55,5,1922,1922
55,55,2,1921,1921
56,56,5,1924,1931
58,58,5,1922,1926
58,58,2,1920,1921
59,59,5,1926,1926
66,66,5,1925,1926
66,64,5,1924,1924
67,67,5,1924,1924
68,68,5,1926,1926
75,75,5,1926,1926
75,74,5,1922,1923
75,74,2,1921,1921
78,78,5,1922,1926
80,80,5,1929,1930
80,79,5,1922,1924
80,79,2,1921,1921
91,91,5,1950,1951
91,86,5,1949,1949
91,87,2,1921,1921
90,90,5,1927,1929
95,95,5,1922,1923
93,93,5,1930,1930
93,96,5,1929,1929
8,8,5,1929,1929
8,104,5,1925,1928
105,105,5,1925,1931
107,107,5,1926,1926
107,106,5,1922,1924
109,109,5,1922,1925
109,109,2,1920,1921
108,108,5,1922,1925
108,108,2,1920,1921
113,113,5,1923,1923
117,117,5,1929,1932
122,122,5,1922,1923
29,29,2,1920,1920
40,40,2,1920,1921
32,32,2,1921,1921
48,48,2,1920,1920
51,51,2,1921,1921
82,82,2,1920,1921
118,118,2,1921,1921
123,123,2,1921,1921
126,126,2,1921,1921
8,8,3,1926,1926
13,13,3,1926,1926
24,24,3,1926,1926
38,38,3,1926,1926
73,73,3,1926,1926
92,92,3,1926,1926
98,98,3,1926,1926
109,109,3,1926,1926
90,90,3,1926,1926
18,18,1,1947,1949
18,19,1,1946,1946
12,12,1,1946,1948
26,26,1,1949,1949
27,27,1,1946,1948
70,70,1,1946,1949
90,90,1,1946,1948
